movie_id,num_genres,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9,id_10,id_11
293660,4,28,12,35,10749,0,0,0,0,0,0,0
297761,4,28,80,14,878,0,0,0,0,0,0,0
209112,3,28,12,14,0,0,0,0,0,0,0,0
271110,3,12,28,878,0,0,0,0,0,0,0,0
329865,4,53,18,878,9648,0,0,0,0,0,0,0
284052,4,28,12,14,878,0,0,0,0,0,0,0
246655,4,28,12,14,878,0,0,0,0,0,0,0
269149,4,16,12,10751,35,0,0,0,0,0,0,0
259316,3,12,28,14,0,0,0,0,0,0,0,0
330459,4,28,18,878,10752,0,0,0,0,0,0,0
127380,4,12,16,35,10751,0,0,0,0,0,0,0
328111,4,12,16,35,10751,0,0,0,0,0,0,0
313369,4,35,18,10402,10749,0,0,0,0,0,0,0
274870,4,12,18,10749,878,0,0,0,0,0,0,0
278927,3,12,18,14,0,0,0,0,0,0,0,0
291805,6,28,12,35,80,9648,53,0,0,0,0,0
277834,5,12,16,35,10751,14,0,0,0,0,0,0
47933,3,28,12,878,0,0,0,0,0,0,0,0
188927,4,28,12,878,53,0,0,0,0,0,0,0
258489,1,12,0,0,0,0,0,0,0,0,0,0
324668,2,28,53,0,0,0,0,0,0,0,0,0
283366,3,18,14,12,0,0,0,0,0,0,0,0
333371,1,878,0,0,0,0,0,0,0,0,0,0
324786,3,18,36,10752,0,0,0,0,0,0,0,0
333484,3,12,28,37,0,0,0,0,0,0,0,0
68735,3,28,12,14,0,0,0,0,0,0,0,0
290250,5,28,35,80,9648,53,0,0,0,0,0,0
121856,4,28,12,14,878,0,0,0,0,0,0,0
43074,3,14,27,10770,0,0,0,0,0,0,0,0
207932,1,53,0,0,0,0,0,0,0,0,0,0
296096,2,18,10749,0,0,0,0,0,0,0,0,0
299687,2,12,878,0,0,0,0,0,0,0,0,0
302946,3,80,53,18,0,0,0,0,0,0,0,0
223702,4,12,16,35,14,0,0,0,0,0,0,0
343611,5,28,80,18,9648,53,0,0,0,0,0,0
262504,2,12,878,0,0,0,0,0,0,0,0,0
363676,2,18,36,0,0,0,0,0,0,0,0,0
259693,1,27,0,0,0,0,0,0,0,0,0,0
267860,3,28,80,53,0,0,0,0,0,0,0,0
302699,2,28,35,0,0,0,0,0,0,0,0,0
140300,5,28,12,16,35,10751,0,0,0,0,0,0
346685,3,18,10749,53,0,0,0,0,0,0,0,0
300669,3,80,27,53,0,0,0,0,0,0,0,0
346672,2,28,27,0,0,0,0,0,0,0,0,0
328387,3,12,80,53,0,0,0,0,0,0,0,0
340666,2,18,53,0,0,0,0,0,0,0,0,0
332567,3,27,18,53,0,0,0,0,0,0,0,0
335797,5,16,35,18,10751,10402,0,0,0,0,0,0
290595,3,28,12,18,0,0,0,0,0,0,0,0
241259,1,14,0,0,0,0,0,0,0,0,0,0
325133,1,35,0,0,0,0,0,0,0,0,0,0
291870,2,12,35,0,0,0,0,0,0,0,0,0
381284,2,36,18,0,0,0,0,0,0,0,0,0
270487,4,35,18,10402,9648,0,0,0,0,0,0,0
296524,2,18,28,0,0,0,0,0,0,0,0,0
259694,2,35,10749,0,0,0,0,0,0,0,0,0
278924,3,28,80,53,0,0,0,0,0,0,0,0
376867,1,18,0,0,0,0,0,0,0,0,0,0
205584,3,28,12,14,0,0,0,0,0,0,0,0
308266,3,35,80,18,0,0,0,0,0,0,0,0
316727,3,28,27,53,0,0,0,0,0,0,0,0
334541,1,18,0,0,0,0,0,0,0,0,0,0
376659,1,35,0,0,0,0,0,0,0,0,0,0
338766,3,37,80,18,0,0,0,0,0,0,0,0
302401,2,18,53,0,0,0,0,0,0,0,0,0
369885,5,28,18,10752,10749,53,0,0,0,0,0,0
303858,1,53,0,0,0,0,0,0,0,0,0,0
334533,4,12,35,18,10749,0,0,0,0,0,0,0
321258,3,27,9648,53,0,0,0,0,0,0,0,0
334543,1,18,0,0,0,0,0,0,0,0,0,0
153518,4,28,16,35,10751,0,0,0,0,0,0,0
300671,4,28,18,53,10752,0,0,0,0,0,0,0
345920,2,18,10749,0,0,0,0,0,0,0,0,0
278154,4,12,16,10751,35,0,0,0,0,0,0,0
267935,3,12,10751,14,0,0,0,0,0,0,0,0
345911,2,27,53,0,0,0,0,0,0,0,0,0
308531,4,14,28,12,35,0,0,0,0,0,0,0
95610,1,35,0,0,0,0,0,0,0,0,0,0
173897,3,28,27,878,0,0,0,0,0,0,0,0
136799,3,12,16,10751,0,0,0,0,0,0,0,0
329833,1,35,0,0,0,0,0,0,0,0,0,0
146198,1,53,0,0,0,0,0,0,0,0,0,0
316023,2,35,10749,0,0,0,0,0,0,0,0,0
267193,2,28,35,0,0,0,0,0,0,0,0,0
313297,3,16,12,10751,0,0,0,0,0,0,0,0
245703,3,12,18,878,0,0,0,0,0,0,0,0
339397,3,18,35,10749,0,0,0,0,0,0,0,0
376570,2,27,53,0,0,0,0,0,0,0,0,0
301365,2,53,27,0,0,0,0,0,0,0,0,0
347031,5,35,18,10749,14,12,0,0,0,0,0,0
356305,1,35,0,0,0,0,0,0,0,0,0,0
313922,3,27,80,53,0,0,0,0,0,0,0,0
379170,3,80,18,9648,0,0,0,0,0,0,0,0
319888,3,35,18,36,0,0,0,0,0,0,0,0
311324,3,28,12,14,0,0,0,0,0,0,0,0
396535,3,28,27,53,0,0,0,0,0,0,0,0
258230,2,18,14,0,0,0,0,0,0,0,0,0
300673,4,28,18,36,53,0,0,0,0,0,0,0
58431,4,10749,27,35,53,0,0,0,0,0,0,0
294272,3,12,10751,14,0,0,0,0,0,0,0,0
323675,2,28,35,0,0,0,0,0,0,0,0,0
303991,2,35,18,0,0,0,0,0,0,0,0,0
271969,3,12,18,36,0,0,0,0,0,0,0,0
332210,3,16,35,10751,0,0,0,0,0,0,0,0
381341,2,35,18,0,0,0,0,0,0,0,0,0
376660,2,35,18,0,0,0,0,0,0,0,0,0
393457,1,18,0,0,0,0,0,0,0,0,0,0
302156,4,878,28,80,18,0,0,0,0,0,0,0
325789,3,80,18,53,0,0,0,0,0,0,0,0
369557,3,10749,18,10402,0,0,0,0,0,0,0,0
335796,2,27,53,0,0,0,0,0,0,0,0,0
318121,2,35,18,0,0,0,0,0,0,0,0,0
376866,1,18,0,0,0,0,0,0,0,0,0,0
309886,2,28,53,0,0,0,0,0,0,0,0,0
351211,2,27,53,0,0,0,0,0,0,0,0,0
68730,2,18,36,0,0,0,0,0,0,0,0,0
331313,2,28,35,0,0,0,0,0,0,0,0,0
372058,4,16,18,14,10749,0,0,0,0,0,0,0
330483,2,18,10749,0,0,0,0,0,0,0,0,0
389053,3,28,12,35,0,0,0,0,0,0,0,0
323676,1,35,0,0,0,0,0,0,0,0,0,0
329440,2,27,53,0,0,0,0,0,0,0,0,0
318781,3,18,10749,36,0,0,0,0,0,0,0,0
213681,3,35,28,80,0,0,0,0,0,0,0,0
323677,2,28,18,0,0,0,0,0,0,0,0,0
382322,4,28,16,80,18,0,0,0,0,0,0,0
324670,3,53,28,878,0,0,0,0,0,0,0,0
342521,2,28,35,0,0,0,0,0,0,0,0,0
295699,1,35,0,0,0,0,0,0,0,0,0,0
384682,1,35,0,0,0,0,0,0,0,0,0,0
371645,3,18,12,35,0,0,0,0,0,0,0,0
316152,4,28,18,36,53,0,0,0,0,0,0,0
399106,2,10751,16,0,0,0,0,0,0,0,0,0
374416,1,35,0,0,0,0,0,0,0,0,0,0
337674,2,18,53,0,0,0,0,0,0,0,0,0
364433,5,28,18,35,53,878,0,0,0,0,0,0
333385,3,28,35,10749,0,0,0,0,0,0,0,0
377264,3,27,878,53,0,0,0,0,0,0,0,0
279641,2,10752,35,0,0,0,0,0,0,0,0,0
315664,2,35,18,0,0,0,0,0,0,0,0,0
302688,1,35,0,0,0,0,0,0,0,0,0,0
353069,2,35,18,0,0,0,0,0,0,0,0,0
270010,2,35,18,0,0,0,0,0,0,0,0,0
388399,3,18,36,53,0,0,0,0,0,0,0,0
254302,1,18,0,0,0,0,0,0,0,0,0,0
174751,3,28,18,37,0,0,0,0,0,0,0,0
397243,2,27,9648,0,0,0,0,0,0,0,0,0
335778,4,28,12,18,9648,0,0,0,0,0,0,0
374617,3,80,18,53,0,0,0,0,0,0,0,0
341012,2,35,10402,0,0,0,0,0,0,0,0,0
338189,1,18,0,0,0,0,0,0,0,0,0,0
283552,1,18,0,0,0,0,0,0,0,0,0,0
310307,2,18,36,0,0,0,0,0,0,0,0,0
410199,2,53,878,0,0,0,0,0,0,0,0,0
381356,1,35,0,0,0,0,0,0,0,0,0,0
301804,4,18,14,27,53,0,0,0,0,0,0,0
351819,2,10749,35,0,0,0,0,0,0,0,0,0
168098,3,27,878,53,0,0,0,0,0,0,0,0
290098,3,53,18,10749,0,0,0,0,0,0,0,0
333669,1,28,0,0,0,0,0,0,0,0,0,0
