,genre_name,id,vote_average,popularity,pal_intensity_1,pal_intensity_2,pal_intensity_3,pal_intensity_4,pal_intensity_5,avg_red,avg_blue,avg_green
406,Action,81796,5.8,2.004322,0,3,1,2,6,0.80000000000000004,0.59999999999999998,1.0
407,Comedy,8827,6.5,0.486816,765,496,763,495,493,254.80000000000001,245.80000000000001,101.8
408,Comedy,15588,7.0,0.94681,765,354,762,0,764,200.59999999999999,168.59999999999999,159.80000000000001
409,Comedy,11323,6.0,1.071953,535,532,466,538,463,254.19999999999999,187.0,65.599999999999994
410,Comedy,10371,5.6,0.789281,0,3,2,1,1,0.40000000000000002,0.40000000000000002,0.59999999999999998
411,Thriller,1817,6.6,2.34958,0,2,1,1,3,0.40000000000000002,0.40000000000000002,0.59999999999999998
412,Action,11119,4.3,0.584073,3,0,11,4,6,1.8,2.2000000000000002,0.80000000000000004
413,Comedy,21838,5.8,0.278492,0,3,6,1,9,1.2,1.3999999999999999,1.2
414,Action,28019,5.9,0.901168,0,765,3,762,759,152.59999999999999,152.59999999999999,152.59999999999999
415,Animation,18269,5.9,2.541701,158,155,161,157,158,17.800000000000001,37.399999999999999,102.59999999999999
416,Action,13486,4.3,2.049121,0,3,6,1,12,3.6000000000000001,0.59999999999999998,0.20000000000000001
417,Romance,263105,7.0,0.194844,432,10,11,429,435,53.799999999999997,86.400000000000006,123.2
418,Drama,2009,7.3,0.612489,0,3,1,2,6,0.59999999999999998,0.80000000000000004,1.0
419,Romance,209410,5.8,0.042074,643,640,637,612,609,208.0,208.19999999999999,212.0
420,Action,203793,5.6,0.026932,7,9,10,15,12,3.3999999999999999,3.6000000000000001,3.6000000000000001
421,Animation,533,6.8,1.938388,188,3,185,8,5,11.6,22.399999999999999,43.799999999999997
422,Thriller,195276,6.9,0.381204,6,3,9,4,3,2.3999999999999999,1.2,1.3999999999999999
423,Action,106021,5.5,1.754183,0,3,2,5,6,0.59999999999999998,0.40000000000000002,2.2000000000000002
424,Drama,284689,7.1,1.254573,649,646,647,650,643,225.19999999999999,214.80000000000001,207.0
425,Romance,14629,5.2,1.166886,765,32,35,30,38,60.799999999999997,57.799999999999997,61.399999999999999
426,Animation,14611,6.4,0.507861,0,2,5,1,1,0.40000000000000002,0.40000000000000002,1.0
427,Drama,245844,5.8,1.573272,179,182,702,176,30,88.200000000000003,82.200000000000003,83.400000000000006
428,Thriller,375012,6.7,0.385228,34,37,8,40,34,22.199999999999999,7.2000000000000002,1.2
429,Romance,8346,6.1,1.312267,765,0,717,762,744,192.0,202.0,203.59999999999999
430,Comedy,287587,5.2,1.326383,664,661,667,658,670,215.0,225.0,224.0
431,Comedy,20616,4.8,0.266552,26,23,20,29,23,8.8000000000000007,6.4000000000000004,9.0
432,Thriller,9966,5.6,1.448403,0,2,3,5,9,1.6000000000000001,0.80000000000000004,1.3999999999999999
433,Comedy,258805,4.4,0.581096,14,20,35,38,32,8.5999999999999996,8.5999999999999996,10.6
434,Animation,36736,6.5,0.452592,21,24,27,30,18,7.0,9.0,8.0
435,Action,29339,6.6,0.875255,0,765,1,1,2,51.200000000000003,51.600000000000001,51.0
436,Thriller,22894,5.1,1.186438,2,6,8,7,10,0.40000000000000002,0.0,6.2000000000000002
437,Romance,172533,6.1,0.987152,0,2,1,1,4,0.20000000000000001,0.20000000000000001,1.2
438,Thriller,9656,4.8,0.595904,0,2,3,1,1,0.40000000000000002,0.40000000000000002,0.59999999999999998
439,Comedy,279690,6.4,0.785328,742,747,739,745,736,247.80000000000001,247.80000000000001,246.19999999999999
440,Thriller,14001,6.2,1.548111,0,3,6,9,6,2.3999999999999999,1.2,1.2
441,Action,121823,5.6,1.044128,12,15,0,19,9,3.3999999999999999,3.6000000000000001,4.0
442,Comedy,7446,6.4,1.647458,31,34,60,40,37,18.199999999999999,14.0,8.1999999999999993
443,Comedy,87428,5.5,1.304589,765,764,763,764,109,211.0,211.0,211.0
444,Action,7797,6.5,0.554561,0,1,3,1,241,33.399999999999999,8.8000000000000007,7.0
445,Comedy,91550,6.2,0.336387,78,66,78,68,71,40.200000000000003,4.0,28.0
446,Documentary,200813,7.8,0.003638,70,73,67,72,69,0.80000000000000004,1.8,67.599999999999994
447,Action,127493,5.1,1.19451,762,759,757,760,753,253.40000000000001,253.19999999999999,251.59999999999999
448,Comedy,83896,2.7,0.438848,762,761,762,765,759,252.59999999999999,254.59999999999999,254.59999999999999
449,Thriller,20777,5.5,0.606014,0,3,765,764,6,102.40000000000001,102.59999999999999,102.59999999999999
450,Comedy,239562,5.7,0.426999,419,418,422,422,421,221.19999999999999,66.599999999999994,132.59999999999999
451,Drama,2015,6.2,0.662732,765,762,759,19,756,203.80000000000001,204.0,204.40000000000001
452,Comedy,36568,6.0,0.658824,325,326,324,329,321,0.59999999999999998,124.59999999999999,199.80000000000001
453,Drama,397717,5.0,0.238185,47,0,3,3,6,4.5999999999999996,2.7999999999999998,4.4000000000000004
