,genre_name,id,vote_average,popularity,pal_intensity_1,pal_intensity_2,pal_intensity_3,pal_intensity_4,pal_intensity_5,avg_red,avg_blue,avg_green
500,Thriller,358881,6.7,0.696432,765,762,759,759,756,253.0,253.80000000000001,253.40000000000001
501,Romance,921,7.2,1.177336,0,3,6,2,1,0.59999999999999998,0.80000000000000004,1.0
502,Romance,85033,6.8,1.14514,0,17,14,20,1,4.4000000000000004,3.6000000000000001,2.3999999999999999
503,Animation,390734,6.7,1.517647,48,51,46,46,43,15.0,13.199999999999999,18.600000000000001
504,Romance,273153,6.4,0.308842,765,635,763,764,762,245.0,249.40000000000001,243.40000000000001
505,Thriller,8875,5.4,0.535092,47,47,45,35,45,2.3999999999999999,14.4,27.0
506,Romance,19255,6.7,0.934625,765,750,741,732,165,210.19999999999999,210.19999999999999,210.19999999999999
507,Thriller,16083,6.3,0.48348,0,3,6,9,12,2.0,2.0,2.0
508,Romance,11091,6.5,0.386369,303,677,666,680,306,233.40000000000001,145.19999999999999,147.80000000000001
509,Action,4283,4.6,0.664928,3,5,8,6,12,1.6000000000000001,1.8,3.3999999999999999
510,Action,1427,7.0,3.125721,7,4,9,12,6,1.0,0.20000000000000001,6.4000000000000004
511,Documentary,11194,7.6,1.404681,761,762,764,763,761,253.40000000000001,255.0,253.80000000000001
512,Thriller,91549,4.8,0.407582,52,67,55,75,58,16.399999999999999,18.399999999999999,26.600000000000001
513,Romance,19913,7.3,4.191828,736,739,741,738,735,244.19999999999999,244.40000000000001,249.19999999999999
514,Drama,2517,7.7,0.586441,756,752,759,196,193,169.40000000000001,177.80000000000001,184.0
515,Action,27578,6.0,4.711053,0,699,693,696,690,185.19999999999999,185.19999999999999,185.19999999999999
516,Thriller,134597,5.9,1.675093,4,2,7,765,10,51.600000000000001,52.200000000000003,53.799999999999997
517,Thriller,159128,5.5,0.912383,3,6,702,9,0,47.600000000000001,47.799999999999997,48.600000000000001
518,Thriller,16617,6.3,0.877018,0,3,2,5,6,0.80000000000000004,0.80000000000000004,1.6000000000000001
519,Animation,367326,7.6,0.280529,19,23,17,24,12,0.40000000000000002,0.20000000000000001,18.399999999999999
520,Romance,293863,7.3,3.102543,759,688,699,702,752,246.19999999999999,241.59999999999999,232.19999999999999
521,Action,279972,5.6,0.306853,3,64,67,0,73,12.4,14.800000000000001,14.199999999999999
522,Thriller,277237,5.3,1.023476,64,65,77,74,71,18.600000000000001,16.399999999999999,35.200000000000003
523,Animation,75491,6.7,0.342879,426,502,352,499,269,150.80000000000001,165.59999999999999,93.200000000000003
524,Thriller,79550,4.9,0.26318,12,9,15,6,18,7.0,3.0,2.0
525,Drama,238628,7.4,0.975365,0,6,3,2,5,0.59999999999999998,0.40000000000000002,2.2000000000000002
526,Action,1771,6.5,6.125103,0,2,3,6,4,0.59999999999999998,0.59999999999999998,1.8
527,Animation,303857,6.9,1.133584,17,21,6,17,18,7.4000000000000004,3.6000000000000001,4.7999999999999998
528,Action,118624,5.8,0.459423,23,26,29,20,32,10.0,9.0,7.0
529,Thriller,23823,4.6,1.800004,0,26,3,23,6,4.4000000000000004,4.0,3.2000000000000002
530,Action,19901,6.0,1.806602,0,3,2,1,1,0.40000000000000002,0.40000000000000002,0.59999999999999998
531,Comedy,202220,4.5,0.516601,0,3,1,6,6,1.8,0.80000000000000004,0.59999999999999998
532,Thriller,38363,6.5,1.184603,12,18,21,24,15,6.0,6.0,6.0
533,Comedy,105001,4.8,0.721521,47,38,35,32,41,6.2000000000000002,13.199999999999999,19.199999999999999
534,Romance,48650,5.6,1.165443,756,759,753,750,744,250.80000000000001,250.80000000000001,250.80000000000001
535,Comedy,261461,5.9,0.071967,694,675,697,672,703,218.19999999999999,235.40000000000001,234.59999999999999
536,Thriller,297596,4.4,0.99081,765,763,34,764,764,205.59999999999999,205.80000000000001,206.59999999999999
537,Thriller,127884,5.0,0.362529,3,0,8,9,7,2.6000000000000001,2.2000000000000002,0.59999999999999998
538,Comedy,55165,7.3,0.310406,482,485,491,494,488,129.0,166.0,193.0
539,Animation,10567,6.3,1.899323,4,0,2,3,1,0.20000000000000001,0.40000000000000002,1.3999999999999999
540,Comedy,274479,6.4,2.705859,2,4,0,6,546,23.199999999999999,38.799999999999997,49.600000000000001
541,Action,278924,5.1,5.740018,765,724,718,721,715,246.59999999999999,242.59999999999999,239.40000000000001
542,Romance,24021,5.7,3.472856,0,2,4,10,8,0.0,0.0,4.7999999999999998
543,Action,34069,5.9,1.018331,29,22,2,29,18,3.7999999999999998,7.2000000000000002,9.0
544,Comedy,9416,5.9,1.08078,765,734,764,764,737,253.80000000000001,251.0,248.0
545,Thriller,13200,6.8,0.855777,9,6,43,38,35,4.0,9.1999999999999993,13.0
546,Action,70586,4.8,0.880765,22,16,0,19,22,1.0,4.4000000000000004,10.4
547,Romance,255343,6.1,2.529394,8,15,15,10,17,0.59999999999999998,0.20000000000000001,12.199999999999999
548,Thriller,100493,5.0,0.159421,0,2,1,1,3,0.80000000000000004,0.20000000000000001,0.40000000000000002
549,Animation,2062,7.4,6.271775,266,339,265,342,267,4.7999999999999998,104.2,186.80000000000001
550,Thriller,38033,3.8,0.575418,4,4,2,7,9,2.2000000000000002,3.0,0.0
551,Thriller,65055,4.9,1.0588,30,37,34,33,36,10.800000000000001,11.199999999999999,12.0
552,Drama,8942,6.6,0.46074,0,1,2,1,4,0.20000000000000001,0.20000000000000001,1.2
553,Animation,13754,7.6,0.801671,49,47,46,52,55,20.0,17.399999999999999,12.4
554,Comedy,250219,7.3,0.769847,689,692,698,686,695,233.0,232.0,227.0
555,Animation,9992,5.9,1.982803,0,3,9,4,2,1.0,1.8,0.80000000000000004
556,Comedy,325133,5.5,3.440486,5,2,617,8,614,70.799999999999997,84.799999999999997,93.599999999999994
557,Documentary,318256,5.9,0.566345,379,388,376,373,382,152.19999999999999,126.2,101.2
558,Thriller,38325,6.4,0.344683,765,762,734,747,26,200.0,201.80000000000001,205.0
559,Animation,223706,6.9,0.479018,348,94,393,410,415,0.20000000000000001,129.59999999999999,202.19999999999999
560,Thriller,165213,7.1,1.073303,0,3,6,19,9,2.6000000000000001,2.6000000000000001,2.2000000000000002
561,Romance,382399,6.9,0.685943,0,2,8,6,17,0.40000000000000002,0.0,6.2000000000000002
562,Thriller,3489,5.6,1.458344,9,3,12,15,12,6.2000000000000002,2.2000000000000002,1.8
563,Documentary,57276,7.1,0.624233,33,30,36,27,35,10.6,10.6,11.0
564,Comedy,19458,6.1,1.439209,765,757,754,757,764,251.40000000000001,254.0,254.0
565,Thriller,274626,4.7,0.184517,0,3,6,9,12,2.0,2.0,2.0
566,Animation,15657,5.9,0.839693,594,591,174,390,594,191.0,151.0,126.59999999999999
567,Thriller,109099,5.2,1.315464,3,0,6,9,15,2.0,2.3999999999999999,2.2000000000000002
568,Action,185267,5.0,0.362276,9,0,12,1,6,2.0,1.8,1.8
569,Animation,15805,6.8,0.299152,724,66,721,718,721,189.0,199.19999999999999,201.80000000000001
570,Romance,92499,6.4,0.304538,16,17,11,10,409,18.800000000000001,38.200000000000003,35.600000000000001
571,Documentary,77269,7.3,0.00918,437,765,438,439,440,51.0,197.80000000000001,255.0
572,Romance,85735,5.8,0.374359,765,762,759,756,753,253.0,253.0,253.0
573,Comedy,14799,5.8,0.305222,765,764,36,762,39,159.19999999999999,157.0,157.0
574,Comedy,253406,5.8,2.211221,3,765,0,753,747,151.19999999999999,151.19999999999999,151.19999999999999
575,Romance,16558,5.8,0.762823,765,764,764,22,763,205.0,205.19999999999999,205.40000000000001
576,Drama,10397,6.8,0.510392,57,60,59,56,77,29.199999999999999,15.0,17.600000000000001
577,Action,250066,4.3,1.562686,36,33,36,33,39,3.2000000000000002,11.0,21.199999999999999
578,Animation,55931,6.8,1.025992,11,5,3,2,4,2.0,1.6000000000000001,1.3999999999999999
579,Romance,152601,7.8,4.443818,258,258,251,260,263,196.40000000000001,0.40000000000000002,61.200000000000003
580,Action,74523,5.7,1.717437,4,8,12,23,6,3.6000000000000001,0.20000000000000001,6.7999999999999998
581,Thriller,6537,7.1,1.557625,3,0,5,6,2,0.80000000000000004,0.80000000000000004,1.6000000000000001
582,Documentary,84287,7.4,0.721363,40,37,36,43,39,6.0,10.800000000000001,22.199999999999999
583,Comedy,299847,5.7,0.202864,765,762,759,764,756,253.80000000000001,253.59999999999999,253.80000000000001
584,Comedy,9788,6.1,1.895581,765,593,596,599,590,213.0,210.59999999999999,205.0
585,Thriller,598,8.1,3.514721,0,687,3,1,3,42.399999999999999,47.799999999999997,48.600000000000001
586,Comedy,12312,5.6,0.759028,0,1,2,220,3,13.0,15.4,16.800000000000001
587,Drama,16804,7.6,1.077364,0,672,675,669,678,166.80000000000001,181.19999999999999,190.80000000000001
588,Drama,2016,6.7,2.305508,729,732,735,726,738,243.0,240.0,249.0
589,Drama,115442,6.8,0.075623,765,60,53,57,63,67.400000000000006,67.799999999999997,64.400000000000006
590,Thriller,270668,6.2,0.176868,78,75,59,81,62,13.6,21.399999999999999,36.0
591,Animation,4977,7.6,1.218776,218,213,215,219,216,179.40000000000001,32.600000000000001,4.2000000000000002
592,Action,10116,6.1,1.043233,12,15,18,6,12,3.0,3.6000000000000001,6.0
593,Comedy,11852,5.4,0.728341,195,200,198,197,192,142.0,18.199999999999999,36.200000000000003
594,Thriller,63310,7.3,0.574485,0,3,6,626,623,90.799999999999997,83.200000000000003,77.599999999999994
595,Comedy,22820,6.2,0.867695,279,281,290,252,276,149.59999999999999,89.599999999999994,36.399999999999999
596,Thriller,9022,5.6,1.24615,0,3,6,9,254,52.0,1.2,1.2
597,Drama,11365,6.5,1.076786,21,18,741,738,24,103.59999999999999,103.2,101.59999999999999
598,Romance,109491,5.5,2.164866,0,6,3,9,12,2.0,2.0,2.0
599,Action,214910,6.9,0.485316,0,3,6,5,9,1.3999999999999999,1.3999999999999999,1.8
600,Comedy,79934,6.9,0.115434,88,82,85,88,61,50.200000000000003,17.399999999999999,13.199999999999999
601,Action,5145,6.5,2.465324,765,763,486,485,483,144.80000000000001,201.80000000000001,249.80000000000001
602,Thriller,52653,3.8,0.10206,6,3,28,31,9,4.5999999999999996,5.0,5.7999999999999998
603,Animation,12242,5.9,2.004317,0,1,2,765,1,51.200000000000003,51.200000000000003,51.399999999999999
604,Romance,158423,5.3,0.097956,764,765,1,0,764,153.0,152.80000000000001,153.0
605,Thriller,291865,5.7,0.229397,9,12,15,17,20,5.4000000000000004,5.0,4.2000000000000002
606,Comedy,7364,5.7,1.090224,133,136,129,132,137,59.600000000000001,35.600000000000001,38.200000000000003
607,Comedy,2332,6.0,1.75668,43,46,49,41,40,8.4000000000000004,10.4,25.0
608,Comedy,369230,6.0,0.058428,0,3,6,9,9,1.6000000000000001,1.3999999999999999,2.3999999999999999
609,Comedy,156236,6.5,0.545354,765,347,350,764,764,188.19999999999999,191.80000000000001,218.0
610,Comedy,24447,7.6,0.379656,28,25,22,31,19,7.0,6.0,12.0
611,Animation,77887,6.9,0.586263,474,471,477,468,488,220.19999999999999,173.59999999999999,81.799999999999997
612,Action,122192,5.7,1.197296,3,0,765,6,9,52.200000000000003,52.200000000000003,52.200000000000003
613,Action,59883,4.2,0.88068,54,57,60,63,51,18.0,20.0,19.0
614,Romance,51828,6.9,1.531615,691,690,688,687,692,248.80000000000001,239.40000000000001,201.40000000000001
615,Comedy,160085,5.8,0.430334,765,759,764,763,762,254.19999999999999,254.40000000000001,254.0
616,Action,414419,8.1,0.502866,736,736,734,1,0,151.59999999999999,146.80000000000001,143.0
617,Thriller,14125,4.3,1.509379,3,0,6,2,1,1.0,0.80000000000000004,0.59999999999999998
618,Comedy,114779,6.1,0.201954,704,708,707,701,703,250.19999999999999,246.40000000000001,208.0
619,Animation,8953,6.4,0.343194,765,71,762,750,759,207.40000000000001,207.59999999999999,206.40000000000001
620,Action,328595,6.2,0.67572,759,40,43,756,762,155.19999999999999,157.19999999999999,159.59999999999999
621,Action,5470,4.4,0.529187,3,6,16,0,13,2.7999999999999998,2.7999999999999998,2.0
622,Thriller,209269,5.3,0.674528,0,696,3,1,699,93.400000000000006,93.200000000000003,93.200000000000003
623,Comedy,382591,7.7,17.189789,765,764,763,764,2,203.80000000000001,203.80000000000001,204.0
624,Action,390989,4.3,0.668102,0,42,39,50,47,11.6,11.6,12.4
625,Documentary,321769,6.8,0.485141,0,1,70,89,86,6.2000000000000002,6.4000000000000004,36.600000000000001
626,Romance,332340,6.6,1.679059,735,321,734,734,733,252.80000000000001,204.19999999999999,194.40000000000001
627,Action,281298,6.8,0.363578,133,117,136,130,123,58.200000000000003,41.399999999999999,28.199999999999999
628,Comedy,48254,6.7,0.019914,639,661,682,671,677,241.19999999999999,238.0,186.80000000000001
629,Drama,2355,7.0,1.624777,762,762,765,760,756,253.19999999999999,253.59999999999999,254.19999999999999
630,Thriller,11973,6.8,1.316007,6,3,9,0,765,52.200000000000003,52.200000000000003,52.200000000000003
631,Action,321068,5.8,1.50963,5,8,18,12,21,8.0,3.2000000000000002,1.6000000000000001
632,Thriller,3580,7.3,3.148389,0,3,6,6,9,2.0,1.2,1.6000000000000001
633,Comedy,238475,4.0,0.342864,112,100,97,114,99,35.799999999999997,13.6,55.0
634,Romance,9043,6.1,0.496591,759,30,756,765,762,204.80000000000001,204.80000000000001,204.80000000000001
635,Action,9383,5.5,1.68125,765,762,18,15,21,104.8,106.0,105.40000000000001
636,Drama,76758,7.0,1.245747,21,18,20,23,24,7.5999999999999996,7.2000000000000002,6.4000000000000004
637,Romance,72660,7.5,0.12983,19,21,18,21,21,6.2000000000000002,6.7999999999999998,7.0
638,Thriller,66113,6.1,0.469606,23,20,25,18,26,14.0,0.80000000000000004,7.5999999999999996
639,Comedy,185574,7.6,0.289493,729,732,726,150,144,166.0,164.80000000000001,165.40000000000001
640,Animation,9806,7.3,5.997449,204,201,336,286,207,166.0,53.600000000000001,27.199999999999999
641,Thriller,10842,6.7,0.530122,0,2,3,1,5,0.40000000000000002,0.59999999999999998,1.2
642,Animation,149870,7.6,1.951463,391,387,383,388,387,65.599999999999994,128.0,193.59999999999999
643,Documentary,101267,6.5,0.419508,765,0,1,1,763,102.2,102.2,101.59999999999999
644,Thriller,9060,6.4,0.678612,719,716,705,713,722,240.19999999999999,237.0,237.80000000000001
645,Documentary,12698,7.5,0.231192,765,166,764,764,762,236.59999999999999,203.80000000000001,203.80000000000001
646,Comedy,253980,7.0,1.050891,663,660,666,657,669,237.0,231.0,195.0
647,Romance,2022,5.6,1.83134,6,229,0,741,739,136.19999999999999,99.200000000000003,107.59999999999999
648,Romance,16710,6.0,0.196716,762,765,759,764,762,254.0,254.19999999999999,254.19999999999999
649,Drama,1913,7.1,1.879722,729,726,732,723,722,237.80000000000001,244.40000000000001,244.19999999999999
650,Thriller,7445,6.7,1.432202,765,763,764,762,764,254.59999999999999,254.59999999999999,254.40000000000001
651,Comedy,115199,6.7,0.01281,765,0,762,3,759,152.59999999999999,152.59999999999999,152.59999999999999
652,Thriller,133369,6.0,0.407279,762,18,21,756,27,105.59999999999999,105.59999999999999,105.59999999999999
653,Comedy,225564,5.2,0.298805,765,764,763,764,762,254.19999999999999,254.80000000000001,254.59999999999999
654,Documentary,13020,7.1,1.501898,0,759,762,55,756,155.80000000000001,151.80000000000001,158.80000000000001
655,Comedy,66118,5.7,0.043333,765,763,761,764,760,254.59999999999999,254.80000000000001,253.19999999999999
656,Action,20662,6.1,3.383249,0,12,15,15,18,3.6000000000000001,4.4000000000000004,4.0
657,Romance,222936,5.1,0.973775,654,650,765,649,655,184.80000000000001,236.40000000000001,253.40000000000001
658,Animation,14411,6.4,0.927933,22,21,19,23,16,2.2000000000000002,4.4000000000000004,13.6
659,Comedy,9104,6.5,0.529067,0,3,1,1,2,0.40000000000000002,0.40000000000000002,0.59999999999999998
660,Comedy,25132,5.0,0.555453,3,12,6,15,9,2.6000000000000001,3.3999999999999999,3.0
661,Thriller,55,7.5,1.684926,0,765,3,762,6,102.40000000000001,102.40000000000001,102.40000000000001
662,Romance,236325,5.2,0.139614,765,739,736,675,672,237.40000000000001,239.40000000000001,240.59999999999999
663,Action,9759,6.1,1.356877,0,3,1,6,3,1.3999999999999999,0.40000000000000002,0.80000000000000004
664,Thriller,79316,4.4,0.779056,765,764,764,762,763,254.59999999999999,254.59999999999999,254.40000000000001
665,Action,3536,6.1,1.714836,744,33,36,739,30,107.40000000000001,105.0,104.0
666,Comedy,14926,6.0,0.773292,765,758,761,750,755,252.19999999999999,252.19999999999999,253.40000000000001
667,Action,13012,7.1,1.788993,765,762,759,753,756,253.0,253.0,253.0
668,Comedy,87567,5.6,0.671759,765,764,762,764,763,254.59999999999999,254.40000000000001,254.59999999999999
669,Romance,20857,6.3,0.744655,15,18,12,21,267,49.399999999999999,8.0,9.1999999999999993
670,Romance,239571,7.1,1.391639,710,713,707,704,701,250.40000000000001,245.59999999999999,211.0
671,Drama,2055,7.0,0.740103,93,90,96,94,97,43.0,26.800000000000001,24.199999999999999
672,Drama,15237,6.1,0.143676,6,7,9,10,5,0.80000000000000004,3.7999999999999998,2.7999999999999998
673,Action,170,7.0,2.771709,271,268,274,267,237,198.59999999999999,41.600000000000001,23.199999999999999
674,Animation,9444,7.4,2.859312,305,302,308,233,230,165.80000000000001,57.200000000000003,52.600000000000001
675,Thriller,12117,6.2,0.815707,765,762,759,756,3,203.0,203.0,203.0
676,Romance,20178,6.5,0.792796,719,765,710,716,707,243.0,242.19999999999999,238.19999999999999
677,Thriller,48393,6.2,0.335974,28,30,42,36,45,11.800000000000001,12.800000000000001,11.6
678,Comedy,10073,3.6,0.823341,0,316,1,1,765,96.599999999999994,60.200000000000003,59.799999999999997
679,Drama,127372,6.0,0.419409,723,726,720,729,717,243.0,242.0,238.0
680,Action,180,7.0,3.209429,6,9,3,0,3,0.80000000000000004,2.0,1.3999999999999999
681,Animation,33875,5.5,0.439164,520,523,518,517,717,142.40000000000001,182.40000000000001,234.19999999999999
682,Thriller,258086,5.0,0.512112,14,10,12,8,18,12.4,0.0,0.0
683,Thriller,14435,5.3,0.834113,0,3,1,1,2,0.40000000000000002,0.40000000000000002,0.59999999999999998
684,Thriller,244761,5.8,2.21091,765,762,0,3,759,152.59999999999999,152.59999999999999,152.59999999999999
685,Action,294272,6.2,3.98945,763,764,762,761,765,253.40000000000001,255.0,254.59999999999999
686,Comedy,73532,6.8,0.360293,716,719,713,713,703,235.19999999999999,239.0,238.59999999999999
687,Comedy,50794,5.4,0.157121,23,23,15,18,220,44.200000000000003,4.5999999999999996,11.0
688,Action,2059,6.4,3.017907,9,0,11,7,3,0.80000000000000004,0.20000000000000001,5.0
689,Drama,6972,6.3,1.778549,0,40,43,37,34,10.0,7.5999999999999996,13.199999999999999
690,Romance,6022,5.5,0.75414,0,679,2,676,673,129.59999999999999,136.19999999999999,140.19999999999999
691,Animation,45745,7.4,0.654847,0,3,6,9,6,1.3999999999999999,1.8,1.6000000000000001
692,Thriller,1807,7.0,1.237347,759,3,765,762,756,203.0,203.0,203.0
693,Drama,289394,7.0,0.509274,198,195,201,192,248,64.799999999999997,73.599999999999994,68.400000000000006
694,Action,190859,7.4,4.296187,191,191,687,678,696,165.40000000000001,162.19999999999999,161.0
695,Comedy,323020,5.3,0.516056,138,134,135,132,143,22.199999999999999,39.799999999999997,74.400000000000006
696,Drama,14,7.8,4.905284,87,102,93,112,108,100.40000000000001,0.0,0.0
697,Thriller,18079,7.3,0.251726,0,3,6,9,1,1.2,1.3999999999999999,1.2
698,Action,257368,6.6,0.815348,0,3,37,2,6,2.6000000000000001,5.5999999999999996,1.3999999999999999
699,Animation,40623,7.3,0.981214,141,239,138,144,242,39.200000000000003,109.59999999999999,32.0
700,Comedy,16553,7.0,1.047395,765,753,763,757,739,253.40000000000001,253.40000000000001,248.59999999999999
701,Drama,38810,6.9,6.136193,18,21,24,12,27,6.5999999999999996,7.0,6.7999999999999998
702,Comedy,136400,6.6,2.175416,0,3,1,1,697,49.799999999999997,48.600000000000001,42.0
703,Thriller,25754,4.4,0.199725,125,128,130,124,132,51.0,42.200000000000003,34.600000000000001
704,Thriller,215881,5.3,1.333001,36,40,46,33,33,37.200000000000003,0.20000000000000001,0.20000000000000001
705,Documentary,279144,6.8,0.563385,0,2,5,4,3,0.40000000000000002,0.40000000000000002,2.0
706,Comedy,10358,6.1,1.265463,765,762,0,764,759,203.19999999999999,203.40000000000001,203.40000000000001
707,Action,587,7.5,3.706769,0,3,3,6,1,1.2,0.59999999999999998,0.80000000000000004
708,Romance,9464,7.2,0.58063,0,1,1,2,3,0.40000000000000002,0.40000000000000002,0.59999999999999998
709,Comedy,291264,5.8,1.252019,411,420,408,417,402,125.2,176.19999999999999,110.2
710,Comedy,159092,4.8,0.716654,328,615,615,617,316,222.59999999999999,150.19999999999999,125.40000000000001
711,Comedy,209355,5.5,1.837287,745,745,748,742,751,252.59999999999999,249.19999999999999,244.40000000000001
712,Comedy,11211,5.7,0.024858,765,762,759,763,764,254.19999999999999,254.40000000000001,254.0
713,Romance,10362,6.5,1.630005,3,6,9,12,18,3.2000000000000002,3.2000000000000002,3.2000000000000002
714,Action,2900,5.4,1.133595,17,14,20,46,15,9.5999999999999996,6.4000000000000004,6.4000000000000004
715,Comedy,9490,6.3,0.386342,7,4,5,6,9,0.20000000000000001,5.4000000000000004,0.59999999999999998
716,Thriller,19592,5.7,1.392969,765,35,30,38,33,57.399999999999999,60.600000000000001,62.200000000000003
717,Comedy,19824,4.9,0.68863,765,285,285,280,764,252.40000000000001,110.40000000000001,113.0
718,Drama,374473,7.8,2.413277,81,87,84,90,93,29.0,29.0,29.0
719,Comedy,14306,6.8,2.753399,765,764,764,763,762,254.19999999999999,254.80000000000001,254.59999999999999
720,Romance,141733,5.2,1.391607,0,3,2,1,1,0.40000000000000002,0.40000000000000002,0.59999999999999998
721,Action,241239,6.4,2.874705,27,765,30,33,763,107.0,107.2,109.40000000000001
722,Thriller,35052,6.5,0.87055,599,596,602,590,593,216.0,197.0,183.0
723,Comedy,56909,5.9,0.516544,765,763,764,764,762,254.59999999999999,254.59999999999999,254.40000000000001
724,Action,846,6.5,2.400198,24,21,27,33,36,10.0,4.5999999999999996,13.6
725,Action,114796,6.8,0.445823,18,15,12,21,24,6.0,6.0,6.0
726,Thriller,20034,5.2,0.331885,0,3,11,6,12,5.0,1.3999999999999999,0.0
727,Comedy,35019,6.0,1.840456,196,199,198,193,205,39.799999999999997,46.200000000000003,112.2
728,Comedy,72207,5.7,1.736402,765,48,45,42,39,61.0,61.799999999999997,65.0
729,Romance,15708,6.5,0.838313,765,762,735,492,732,222.80000000000001,232.0,242.40000000000001
730,Thriller,70436,6.0,1.79534,11,14,9,17,15,3.7999999999999998,3.6000000000000001,5.7999999999999998
731,Romance,37178,4.7,0.356248,736,733,730,727,739,240.0,243.0,250.0
732,Comedy,103112,4.3,0.060573,765,466,762,346,759,204.80000000000001,221.0,193.80000000000001
733,Action,561,6.5,3.60991,13,16,19,22,765,56.200000000000003,56.200000000000003,54.600000000000001
734,Thriller,13195,6.6,0.606338,0,3,5,6,2,1.3999999999999999,0.80000000000000004,1.0
735,Comedy,79697,5.9,0.80243,765,127,110,764,763,163.40000000000001,163.59999999999999,178.80000000000001
736,Drama,22683,7.2,0.191429,765,763,762,726,745,254.19999999999999,251.59999999999999,246.40000000000001
737,Action,285213,6.2,0.155504,47,34,37,761,40,51.0,63.399999999999999,69.400000000000006
738,Drama,221667,5.9,2.150574,180,177,168,171,176,41.0,29.800000000000001,103.59999999999999
739,Thriller,167032,5.5,1.285532,25,680,674,677,671,181.80000000000001,180.40000000000001,183.19999999999999
740,Thriller,15069,5.4,0.612725,5,3,6,8,3,2.7999999999999998,1.3999999999999999,0.80000000000000004
741,Drama,1523,7.4,1.33458,765,762,13,763,764,205.19999999999999,204.80000000000001,203.40000000000001
742,Comedy,4516,6.0,2.162475,763,765,764,760,761,254.80000000000001,254.59999999999999,253.19999999999999
743,Action,41109,7.1,0.460101,0,3,241,1,1,46.0,0.40000000000000002,2.7999999999999998
744,Comedy,10107,6.0,0.637508,0,2,3,1,1,0.40000000000000002,0.40000000000000002,0.59999999999999998
745,Action,12837,7.2,0.50982,542,539,545,543,541,252.40000000000001,221.0,68.599999999999994
746,Drama,2013,7.4,0.979704,765,42,30,33,45,61.0,61.0,61.0
747,Animation,77951,5.0,1.563368,700,699,705,222,225,170.0,174.40000000000001,165.80000000000001
748,Action,10045,6.5,1.114209,11,0,12,14,2,2.2000000000000002,2.2000000000000002,3.3999999999999999
749,Animation,20982,7.0,0.460874,765,762,759,756,0,202.80000000000001,202.80000000000001,202.80000000000001
750,Action,2454,6.2,3.628802,738,633,636,735,732,232.40000000000001,232.0,230.40000000000001
751,Romance,185008,7.1,0.324872,765,764,764,763,763,254.80000000000001,254.40000000000001,254.59999999999999
752,Drama,4464,6.6,0.922163,42,39,45,36,48,12.0,13.0,17.0
753,Romance,10609,6.7,0.696108,0,2,1,1,765,51.200000000000003,51.200000000000003,51.399999999999999
754,Thriller,192149,5.5,1.948133,747,745,749,755,745,253.80000000000001,252.40000000000001,242.0
755,Animation,234004,5.4,2.512807,765,763,764,764,762,254.19999999999999,254.80000000000001,254.59999999999999
756,Comedy,63574,6.8,0.625489,0,765,3,2,1,51.200000000000003,51.399999999999999,51.600000000000001
757,Thriller,161,7.1,3.972907,0,765,1,3,1,51.399999999999999,51.399999999999999,51.200000000000003
758,Comedy,302798,5.2,0.005585,765,763,760,762,764,254.59999999999999,254.40000000000001,253.80000000000001
759,Comedy,254869,5.1,0.295919,48,52,45,66,63,2.3999999999999999,21.600000000000001,30.800000000000001
760,Action,131631,6.6,12.29633,0,6,3,8,6,2.2000000000000002,1.0,1.3999999999999999
761,Documentary,373451,7.1,0.275563,121,526,373,303,391,165.0,73.799999999999997,104.0
762,Thriller,29193,7.1,0.108527,42,39,35,38,41,14.0,12.4,12.6
763,Comedy,42892,6.6,0.186617,765,762,763,759,764,254.40000000000001,254.19999999999999,254.0
764,Thriller,13536,5.8,0.502584,0,4,3,8,3,1.0,0.80000000000000004,1.8
765,Romance,123235,5.2,0.424565,605,614,611,602,608,186.0,203.0,219.0
766,Comedy,19625,7.2,0.992261,765,764,764,763,762,254.59999999999999,254.59999999999999,254.40000000000001
767,Comedy,46020,4.6,0.654318,743,699,740,699,696,231.40000000000001,237.80000000000001,246.19999999999999
768,Romance,11130,5.9,1.550688,765,764,0,759,764,202.59999999999999,203.80000000000001,204.0
769,Comedy,27621,4.6,0.147946,727,730,724,721,721,248.40000000000001,241.0,235.19999999999999
770,Action,9039,5.8,0.786584,0,1,1,2,3,0.40000000000000002,0.40000000000000002,0.59999999999999998
771,Comedy,369779,3.7,0.14438,16,13,19,10,28,7.5999999999999996,6.2000000000000002,3.3999999999999999
772,Romance,23169,6.8,2.447899,744,741,747,738,750,248.0,248.0,248.0
773,Thriller,160070,3.8,0.606621,0,3,3,8,5,2.0,1.3999999999999999,0.40000000000000002
774,Comedy,29150,6.2,0.781871,740,737,730,622,733,224.80000000000001,238.59999999999999,249.0
775,Documentary,256503,7.1,0.103937,765,17,14,20,23,57.0,56.200000000000003,54.600000000000001
776,Action,285135,3.6,0.36784,14,10,8,15,18,13.0,0.0,0.0
777,Action,97605,5.8,0.834363,0,12,6,9,3,1.8,2.2000000000000002,2.0
778,Thriller,11458,5.5,0.180001,11,10,9,0,3,4.5999999999999996,1.8,0.20000000000000001
779,Drama,14134,6.9,0.22787,765,762,173,759,756,208.40000000000001,222.0,212.59999999999999
780,Action,195590,5.4,1.785294,12,765,9,28,15,55.0,55.200000000000003,55.600000000000001
781,Action,25597,6.7,0.223667,23,20,26,25,23,4.0,7.2000000000000002,12.199999999999999
